,node1,node2,link
363,252,4670,1
364,7097,9171,1
365,5699,9562,1
366,3319,8568,1
367,2945,3649,1
368,4941,8666,1
369,1159,6726,1
370,3560,4534,1
371,1622,4509,1
372,1879,8015,1
373,1205,4400,1
374,2625,3194,1
375,4071,5975,1
376,7209,7467,1
377,6292,9658,1
378,8232,9294,1
379,3880,8243,1
380,5051,5856,1
381,6432,8985,1
382,3380,6082,1
383,339,2142,1
384,2103,7750,1
385,3867,5212,1
386,2043,7645,1
387,6806,8869,1
388,2644,9486,1
389,1964,2751,1
390,4751,9567,1
391,6766,7295,1
392,2407,8241,1
393,3788,5319,1
394,2644,8807,1
395,3813,4910,1
396,592,8734,1
397,218,3729,1
398,3074,7288,1
399,9319,9919,1
400,3904,5552,1
401,709,1454,1
402,4453,9262,1
403,1063,5361,1
404,1283,5187,1
405,8216,9812,1
406,684,8126,1
407,7238,7586,1
408,405,9294,1
409,5580,9486,1
410,1617,5655,1
411,684,7879,1
412,4512,6469,1
413,6980,7427,1
414,2534,8443,1
415,4502,5093,1
416,8483,9546,1
417,5923,9019,1
418,3677,8336,1
419,5997,6136,1
420,550,3379,1
421,7171,8497,1
422,818,9815,1
423,2336,8820,1
424,2471,9363,1
425,4716,8592,1
426,6141,9359,1
427,2024,9035,1
428,7735,9434,1
429,2864,7919,1
430,1418,6411,1
431,7325,8014,1
432,4379,9379,1
433,1391,6444,1
434,4779,8579,1
435,7776,8158,1
436,405,8139,1
437,1273,8651,1
438,5316,7470,1
439,4987,5755,1
440,3469,4909,1
441,3993,4319,1
442,7231,8482,1
443,6414,6959,1
444,377,7641,1
445,4,2983,1
446,6181,8565,1
447,6039,8713,1
448,530,8139,1
449,5285,7298,1
450,454,7657,1
451,2399,3728,1
452,6763,7512,1
453,6536,9319,1
454,6457,6763,1
455,1850,2131,1
456,2651,7369,1
457,622,4464,1
458,2244,8263,1
459,1319,6318,1
460,1126,5165,1
461,648,7848,1
462,701,6517,1
463,1282,2024,1
464,3394,3493,1
465,4063,6046,1
466,4409,6384,1
467,2078,3965,1
468,4222,4723,1
469,6932,7487,1
470,9363,9843,1
471,367,8855,1
472,5890,7048,1
473,4,1879,1
474,897,4907,1
475,9414,9578,1
476,3448,5307,1
477,9368,9816,1
478,2075,4328,1
479,7568,8006,1
480,6792,8420,1
481,1627,4382,1
482,933,2572,1
483,2874,8139,1
484,165,9729,1
485,304,2058,1
486,2149,6940,1
487,2605,7634,1
488,6426,6940,1
489,743,9603,1
490,6843,7765,1
491,2,2629,1
492,1566,4111,1
493,701,1964,1
494,2946,9682,1
495,1585,1886,1
496,1504,9789,1
497,1379,9376,1
498,8857,9736,1
499,406,7716,1
500,5899,9603,1
501,5464,6625,1
502,6427,7892,1
503,3303,3524,1
504,4184,8517,1
505,2131,5369,1
506,2418,3269,1
507,4486,9294,1
508,60,1193,1
509,7694,8734,1
510,2746,4195,1
511,1012,9066,1
512,3892,9310,1
513,550,2554,1
514,464,1666,1
515,6703,7475,1
516,3917,9304,1
517,3074,3103,1
518,7166,7873,1
519,1071,5910,1
520,899,5451,1
521,936,3529,1
522,6441,8316,1
523,5183,8606,1
524,4191,6101,1
525,5226,8257,1
526,1668,2557,1
527,5458,7467,1
528,881,3828,1
529,2048,6920,1
530,5377,8348,1
531,8251,9807,1
532,14,9745,1
533,3973,6936,1
534,7383,9239,1
535,1454,2059,1
536,4045,7427,1
537,1271,2085,1
538,1292,8249,1
539,954,4152,1
540,1783,5872,1
541,152,5719,1
542,1401,4232,1
543,5361,5469,1
544,4068,5490,1
545,961,3590,1
546,1665,3328,1
547,3084,4000,1
548,3429,6318,1
549,2409,5052,1
550,3073,5432,1
551,1583,1654,1
552,5931,9910,1
553,7271,9209,1
554,4338,7589,1
555,8216,9784,1
556,6618,8465,1
557,8574,9414,1
558,3735,5458,1
559,3328,4153,1
560,1387,6605,1
561,6399,7706,1
562,5064,5469,1
563,1072,3532,1
564,9125,9373,1
565,5241,7368,1
566,1387,7471,1
567,4948,9557,1
568,4579,6748,1
569,1331,2167,1
570,2275,8268,1
571,1654,8482,1
572,5469,6175,1
573,2229,3933,1
574,1765,6376,1
575,6646,9149,1
576,4568,7005,1
577,6316,9379,1
578,3636,3641,1
579,6806,8293,1
580,2657,4427,1
581,5147,8728,1
582,5160,9500,1
583,1814,8972,1
584,3322,4913,1
585,767,9939,1
586,4505,9099,1
587,1123,5458,1
588,1089,5777,1
589,5396,5899,1
590,420,7468,1
591,2104,4000,1
592,4388,6819,1
593,5356,5785,1
594,1357,4188,1
595,8905,9828,1
596,1853,6270,1
597,2488,3676,1
598,3757,9125,1
599,945,6244,1
600,339,8765,1
601,3677,9759,1
602,155,6892,1
603,49,6674,1
604,495,3726,1
605,3930,3930,1
606,3466,5206,1
607,4518,8216,1
608,2124,3829,1
609,2700,5045,1
610,6968,9481,1
611,1391,2245,1
612,1827,9550,1
613,5890,6610,1
614,2442,4877,1
615,7487,8883,1
616,6133,8894,1
617,186,1168,1
618,2981,5952,1
619,403,1111,1
620,9180,9337,1
621,2119,8396,1
622,1387,4991,1
623,1722,3693,1
624,2410,4852,1
625,3319,9138,1
626,4003,4419,1
627,1387,5952,1
628,74,8452,1
629,7174,9646,1
630,2040,3785,1
631,5632,9957,1
632,5412,7295,1
633,7233,8213,1
634,1458,2892,1
635,1209,5373,1
636,3458,3878,1
637,4372,5047,1
638,1467,9603,1
639,1226,7415,1
640,936,6393,1
641,4053,6018,1
642,4032,7625,1
643,3653,8351,1
644,2858,5867,1
645,701,9077,1
646,4751,7978,1
647,7223,9717,1
648,937,6581,1
649,2463,8286,1
650,6622,8251,1
651,583,2329,1
652,4690,8018,1
653,1600,3668,1
654,344,9646,1
655,4399,6232,1
656,2078,6473,1
657,3440,9279,1
658,4338,8274,1
659,4615,7048,1
660,257,4966,1
661,2676,5345,1
662,4031,9567,1
663,3677,7295,1
664,3224,5516,1
665,6687,9859,1
666,420,1990,1
667,1421,1980,1
668,6290,7694,1
669,3414,8888,1
670,4625,5646,1
671,1078,8874,1
672,954,8157,1
673,3385,7086,1
674,113,6603,1
675,2037,9625,1
676,8773,9160,1
677,9261,9561,1
678,3040,8139,1
679,1334,8611,1
680,3319,6208,1
681,559,5778,1
682,7381,9667,1
683,714,6399,1
684,7357,8271,1
685,2684,5183,1
686,3911,4502,1
687,2004,4888,1
688,2516,8663,1
689,5708,7290,1
690,1691,8687,1
691,9294,9373,1
692,8452,8988,1
693,790,891,1
694,1401,6395,1
695,3973,5867,1
696,2664,7369,1
697,7325,9125,1
698,7919,8795,1
699,2827,6277,1
700,3473,3973,1
701,2856,9784,1
702,2040,4648,1
703,403,1874,1
704,302,9596,1
705,3311,9176,1
706,660,1694,1
707,4206,7357,1
708,1997,3891,1
709,3434,8893,1
710,2031,2773,1
711,2455,7493,1
712,2377,3737,1
713,4067,6541,1
714,970,8921,1
715,1599,8374,1
716,8895,9916,1
717,3678,9579,1
718,4775,5631,1
719,3642,9689,1
720,1387,3757,1
721,8869,9241,1
722,8158,9156,1
723,130,1617,1
724,528,3070,1
725,1882,8015,1
726,4689,7460,1
727,7983,8687,1
728,4741,9095,1
729,187,8204,1
730,1544,8671,1
731,5299,8060,1
732,813,3606,1
733,6045,7641,1
734,3024,9919,1
735,833,5420,1
736,664,6100,1
737,1998,2914,1
738,3034,4857,1
739,167,5345,1
740,7209,8263,1
741,3476,9494,1
742,8540,9281,1
743,3204,7295,1
744,1408,9060,1
745,6427,6621,1
746,426,2085,1
747,1483,9596,1
748,2029,3867,1
749,8740,8883,1
750,1123,3386,1
751,4208,5801,1
752,2314,6487,1
753,3966,8285,1
754,3411,9155,1
755,8232,9625,1
756,3852,7355,1
757,3097,3374,1
758,1494,7100,1
759,1745,8765,1
760,3420,9872,1
761,3689,9869,1
762,104,9574,1
763,1921,9220,1
764,436,4249,1
765,5622,9528,1
766,2813,9261,1
767,4991,7379,1
768,695,7272,1
769,2209,6045,1
770,2148,8216,1
771,505,7945,1
772,365,9156,1
773,2043,6634,1
774,3469,8255,1
775,5848,8514,1
776,5587,7697,1
777,7493,9368,1
778,176,7308,1
779,720,6799,1
780,3094,3677,1
781,383,5518,1
782,2588,3343,1
783,8972,9128,1
784,1025,5280,1
785,3673,5926,1
786,439,3783,1
787,94,4499,1
788,5563,5563,1
789,1594,2081,1
790,2874,7641,1
791,3070,7494,1
792,701,7770,1
793,5166,5623,1
794,5947,8329,1
795,1917,6202,1
796,2532,3074,1
797,2252,3963,1
798,709,9807,1
799,3743,5057,1
800,3835,8498,1
801,1049,2566,1
802,3880,4742,1
803,5844,6220,1
804,5463,7403,1
805,6214,9808,1
806,2214,5799,1
807,1372,9893,1
808,1193,2023,1
809,187,811,1
810,754,1389,1
811,1840,8902,1
812,7768,9197,1
813,242,3864,1
814,1387,7641,1
815,5215,9036,1
816,5848,6055,1
817,811,2058,1
818,1803,5948,1
819,3838,4724,1
820,1740,3973,1
821,6867,9603,1
822,2467,7409,1
823,4201,9571,1
824,7010,7460,1
825,1007,2442,1
826,5865,9512,1
827,5982,7168,1
828,496,2942,1
829,3741,6064,1
830,1722,2294,1
831,1269,6021,1
832,6628,9528,1
833,1626,4913,1
834,1668,4195,1
835,4518,9218,1
836,715,1979,1
837,7411,8086,1
838,2252,6694,1
839,2183,2228,1
840,3802,4821,1
841,4716,9441,1
842,7075,9829,1
843,8860,8993,1
844,4743,5231,1
845,2159,8292,1
846,5942,8910,1
847,4737,7475,1
848,8482,9590,1
849,5987,6664,1
850,5622,9299,1
851,3479,4057,1
852,6348,8988,1
853,1049,5715,1
854,4518,6961,1
855,4743,9019,1
856,7089,8505,1
857,583,2278,1
858,6936,7196,1
859,2316,8574,1
860,5928,7826,1
861,1877,9930,1
862,1733,7961,1
863,7663,8026,1
864,4629,8129,1
865,3638,8292,1
866,4643,8576,1
867,937,4062,1
868,927,5458,1
869,2004,3223,1
870,822,1970,1
871,5503,9678,1
872,6022,6601,1
873,2081,9603,1
874,2644,6608,1
875,3731,8301,1
876,2732,3252,1
877,829,3894,1
878,3448,5379,1
879,6686,7427,1
880,3556,5281,1
881,1291,6099,1
882,3497,6780,1
883,2420,5368,1
884,6398,7978,1
885,4196,4701,1
886,6115,8883,1
887,710,8400,1
888,1500,5755,1
889,167,8049,1
890,1225,4886,1
891,1367,9176,1
892,2282,8910,1
893,3091,4196,1
894,2477,2854,1
895,8139,8146,1
896,3004,4329,1
897,5208,7873,1
898,724,4379,1
899,6441,9456,1
900,2284,7325,1
901,2746,9418,1
902,8299,9727,1
903,2761,6491,1
904,1387,4499,1
905,9373,9504,1
906,339,8139,1
907,6001,7789,1
908,336,7203,1
909,2942,9677,1
910,1071,5587,1
911,4440,8482,1
912,6376,8329,1
913,1007,9125,1
914,240,9755,1
915,4102,7952,1
916,4064,9287,1
917,8671,9692,1
918,5138,7472,1
919,1620,4584,1
920,2445,9257,1
921,3891,6823,1
922,5307,5510,1
923,2901,6399,1
924,701,6666,1
925,49,701,1
926,1455,8267,1
927,2378,9968,1
928,3070,4653,1
929,723,4779,1
930,6797,7033,1
931,1278,2224,1
932,1071,5513,1
933,3097,6874,1
934,1476,5072,1
935,2651,6112,1
936,3683,5298,1
937,701,8005,1
938,909,2544,1
939,1964,2024,1
940,4943,7909,1
941,3066,9761,1
942,6383,9241,1
943,2528,9576,1
944,2983,8712,1
945,287,871,1
946,2242,4943,1
947,3300,6899,1
948,4025,5209,1
949,2018,8988,1
950,3005,8001,1
951,961,8503,1
952,3197,3647,1
953,768,3915,1
954,296,9893,1
955,5317,7288,1
956,5658,6720,1
957,3883,8669,1
958,2588,8633,1
959,2778,4164,1
960,7735,9356,1
961,1416,1948,1
962,5878,7065,1
963,4003,4503,1
964,1145,4314,1
965,3070,4160,1
966,5183,9848,1
967,391,5951,1
968,370,9021,1
969,1303,4434,1
970,4600,7704,1
971,3103,6398,1
972,487,1865,1
973,487,3218,1
974,2312,7785,1
975,123,8473,1
976,2497,4743,1
977,5432,7467,1
978,6061,7211,1
979,3257,8960,1
980,7359,8893,1
981,1372,7556,1
982,7460,8879,1
983,2110,6581,1
984,2051,4660,1
985,3514,8385,1
986,701,8336,1
987,1064,5427,1
988,592,8857,1
989,356,4737,1
990,2216,6053,1
991,1123,3628,1
992,2051,8271,1
993,365,4597,1
994,1025,1068,1
995,8925,9557,1
996,1265,4279,1
997,324,3090,1
998,131,306,1
999,4825,6100,1
1000,5572,6264,1
1001,4975,8482,1
1002,2284,8869,1
1003,983,9318,1
1004,4502,6222,1
1005,3691,5623,1
1006,8482,9504,1
1007,6424,8650,1
1008,6457,7512,1
1009,2085,4502,1
1010,3094,6349,1
1011,8755,8883,1
1012,3040,5847,1
1013,2442,6162,1
1014,907,6550,1
1015,3990,9065,1
1016,5356,7983,1
1017,3040,4795,1
1018,4470,7219,1
1019,1706,9954,1
1020,6116,7723,1
1021,2922,6781,1
1022,4518,4689,1
1023,741,2474,1
1024,1011,6191,1
1025,3462,6116,1
1026,961,4516,1
1027,3497,7796,1
1028,2991,8718,1
1029,5460,5600,1
1030,8045,9645,1
1031,4502,9220,1
1032,3402,4677,1
1033,6076,9382,1
1034,5431,7781,1
1035,891,7602,1
1036,7488,8505,1
1037,6334,9582,1
1038,3646,9203,1
1039,3584,4097,1
1040,5525,8795,1
1041,1047,6653,1
1042,3046,9294,1
1043,26,8734,1
1044,307,5981,1
1045,1618,9996,1
1046,3761,7448,1
1047,595,1466,1
1048,2610,8675,1
1049,3630,8820,1
1050,217,6502,1
1051,4907,9001,1
1052,1467,6357,1
1053,1366,3973,1
1054,983,8232,1
1055,8139,8473,1
1056,8063,9133,1
1057,6818,9253,1
1058,1422,3021,1
1059,1123,1215,1
1060,172,3496,1
1061,6349,7134,1
1062,2112,9096,1
1063,1714,9171,1
1064,7824,7830,1
1065,3606,9095,1
1066,339,1387,1
1067,522,5443,1
1068,1868,2284,1
1069,3434,3878,1
1070,2151,4061,1
1071,936,3856,1
1072,4452,6948,1
1073,1985,7093,1
1074,3027,7095,1
1075,6189,7208,1
1076,252,5215,1
1077,407,9176,1
1078,2057,8870,1
1079,1372,8718,1
1080,3983,4913,1
1081,7564,9263,1
1082,4677,8241,1
1083,9099,9870,1
1084,8006,9528,1
1085,367,1803,1
1086,1087,3229,1
1087,1985,7219,1
1088,571,3731,1
1089,2416,9151,1
1090,2359,8160,1
1091,8502,8519,1
1092,945,5636,1
1093,7502,8038,1
1094,1554,2993,1
1095,1275,9816,1
1096,1636,6238,1
1097,8067,8773,1
1098,4379,7320,1
1099,2464,8465,1
1100,8316,9371,1
1101,4296,8855,1
1102,4357,6653,1
1103,1917,7475,1
1104,2405,6807,1
1105,83,5617,1
1106,439,6618,1
1107,1271,3097,1
1108,5299,5639,1
1109,2942,5432,1
1110,2544,8700,1
1111,1071,9024,1
1112,2391,8957,1
1113,1184,7135,1
1114,290,5144,1
1115,2557,9255,1
1116,4284,7258,1
1117,1503,1960,1
1118,7033,9246,1
1119,3429,4907,1
1120,246,3529,1
1121,7361,9294,1
1122,6829,8049,1
1123,2566,5428,1
1124,2051,4511,1
1125,3932,7917,1
1126,7400,8382,1
1127,1209,9525,1
1128,8392,9667,1
1129,1097,9220,1
1130,1535,5977,1
1131,2297,8926,1
1132,1740,6936,1
1133,3082,8124,1
1134,2078,5345,1
1135,334,3767,1
1136,1271,6045,1
1137,7959,8522,1
1138,2235,4219,1
1139,4131,9319,1
1140,5588,7745,1
1141,4472,9739,1
1142,4560,9373,1
1143,7934,8126,1
1144,6657,8357,1
1145,2085,3691,1
1146,6566,7196,1
1147,6991,9368,1
1148,4886,7340,1
1149,2886,9759,1
1150,1007,3097,1
1151,1334,3362,1
1152,2244,9106,1
1153,5603,7551,1
1154,2094,4739,1
1155,1617,6422,1
1156,3499,5748,1
1157,1387,5896,1
1158,1927,6645,1
1159,8606,9893,1
1160,3066,7833,1
1161,1434,5138,1
1162,8045,9363,1
1163,8333,9173,1
1164,72,9275,1
1165,3370,6441,1
1166,2773,7769,1
1167,183,5639,1
1168,1085,7616,1
1169,3434,8009,1
1170,6040,9432,1
1171,8068,9229,1
1172,364,9593,1
1173,2110,6086,1
1174,123,6829,1
1175,7355,7800,1
1176,5518,8471,1
1177,2355,7467,1
1178,1004,7442,1
1179,3935,7315,1
1180,3971,9823,1
1181,1710,5951,1
1182,3302,6338,1
1183,3614,6477,1
1184,1113,1934,1
1185,2377,5183,1
1186,4671,7380,1
1187,400,1901,1
1188,4031,5317,1
1189,5348,5379,1
1190,4543,7750,1
1191,4067,5694,1
1192,4112,5469,1
1193,2468,7822,1
1194,1886,6471,1
1195,3965,5212,1
1196,3070,5289,1
1197,3037,3797,1
1198,3579,6932,1
1199,3097,8619,1
1200,1927,9292,1
1201,5763,8979,1
1202,395,5759,1
1203,614,9456,1
1204,496,8579,1
1205,1880,3735,1
1206,568,4031,1
1207,3543,8926,1
1208,296,6600,1
1209,5601,6357,1
1210,3533,8544,1
1211,5040,6445,1
1212,2388,8164,1
1213,4536,7710,1
1214,2046,9059,1
1215,57,6023,1
1216,5500,9256,1
1217,5857,9048,1
1218,2930,8047,1
1219,1437,4686,1
1220,5572,8763,1
1221,1466,1724,1
1222,309,2018,1
1223,5503,6018,1
1224,3878,8292,1
1225,5778,6588,1
1226,1047,8601,1
1227,2964,8199,1
1228,5396,9914,1
1229,5212,9379,1
1230,952,967,1
1231,7644,9812,1
1232,2442,6151,1
1233,2773,4502,1
1234,1543,7329,1
1235,3267,8520,1
1236,7173,8336,1
1237,5678,7400,1
1238,6477,8784,1
1239,7767,9804,1
1240,5268,6342,1
1241,4789,5070,1
1242,5475,9359,1
1243,1080,8483,1
1244,3700,8327,1
1245,164,421,1
1246,6892,8095,1
1247,2594,8367,1
1248,3695,7830,1
1249,3884,3891,1
1250,240,1761,1
1251,2830,8728,1
1252,7364,8065,1
1253,962,5149,1
1254,6045,6137,1
1255,4401,6398,1
1256,130,7066,1
1257,4616,9379,1
1258,1367,1740,1
1259,4991,9456,1
1260,2814,5566,1
1261,1387,5495,1
1262,2160,9996,1
1263,2167,9935,1
1264,1538,5226,1
1265,1751,9203,1
1266,1221,5149,1
1267,4159,8028,1
1268,386,9620,1
1269,4534,4603,1
1270,5439,7418,1
1271,1901,6137,1
1272,1391,2442,1
1273,218,8636,1
1274,1089,4000,1
1275,1205,1271,1
1276,481,5692,1
1277,5318,7136,1
1278,5460,6866,1
1279,8776,9659,1
1280,8606,9235,1
1281,127,1639,1
1282,600,5289,1
1283,375,1946,1
1284,406,2767,1
1285,8486,9363,1
1286,1327,6844,1
1287,2258,8965,1
1288,2018,4414,1
1289,6193,9802,1
1290,212,1422,1
1291,277,3630,1
1292,66,9858,1
1293,7745,9355,1
1294,4349,4989,1
1295,6383,9677,1
1296,364,6040,1
1297,1568,6612,1
1298,1382,7420,1
1299,6646,9816,1
1300,2282,8514,1
1301,1011,7428,1
1302,5379,9163,1
1303,2105,6940,1
1304,5232,7702,1
1305,3868,7760,1
1306,1761,7490,1
1307,4378,6618,1
1308,1198,4876,1
1309,4419,4738,1
1310,4288,6153,1
1311,3559,4907,1
1312,1047,3679,1
1313,1367,9173,1
1314,481,4257,1
1315,7558,9599,1
1316,868,3230,1
1317,1796,3154,1
1318,568,7978,1
1319,1586,9373,1
1320,8734,9557,1
1321,7360,8854,1
1322,4174,4528,1
1323,2442,6222,1
1324,8327,9856,1
1325,339,524,1
1326,8329,9359,1
1327,8760,9705,1
1328,4751,5525,1
1329,7926,8120,1
1330,1078,8932,1
1331,2134,9462,1
1332,369,7166,1
1333,7983,9263,1
1334,1544,5230,1
1335,6045,9125,1
1336,14,1041,1
1337,5658,9759,1
1338,9910,9995,1
1339,341,2644,1
1340,2455,5482,1
1341,1960,4284,1
1342,983,1215,1
1343,3787,6773,1
1344,6457,8801,1
1345,715,3584,1
1346,4833,5928,1
1347,652,9619,1
1348,362,8351,1
1349,3070,7448,1
1350,2224,6045,1
1351,3074,7606,1
1352,904,8302,1
1353,1668,8068,1
1354,710,7600,1
1355,1827,4437,1
1356,4341,6633,1
1357,4568,7095,1
1358,4471,5636,1
1359,1831,5149,1
1360,1120,5303,1
1361,321,5501,1
1362,3994,5495,1
1363,3246,7166,1
1364,7165,8907,1
1365,2380,8387,1
1366,5170,5690,1
1367,7801,9168,1
1368,2856,6687,1
1369,2566,3252,1
1370,4437,6339,1
1371,2242,9572,1
1372,642,2377,1
1373,6344,9891,1
1374,6588,6766,1
1375,4917,5589,1
1376,3889,5822,1
1377,4560,5622,1
1378,497,1184,1
1379,5379,7210,1
1380,2771,3398,1
1381,3251,3556,1
1382,4302,5867,1
1383,1535,3899,1
1384,4099,6621,1
